Oct  2 16:19:08 k8s-master-01 systemd: Started kubelet: The Kubernetes Node Agent.
Oct  2 16:19:08 k8s-master-01 kubelet: Flag --cgroup-driver has been deprecated, This parameter should be set via the config file specified by the Kubelet's --config flag. See https://kubernetes.io/docs/tasks/administer-cluster/kubelet-config-file/ for more information.
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772659    3514 flags.go:33] FLAG: --experimental-allocatable-ignore-eviction="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772662    3514 flags.go:33] FLAG: --experimental-bootstrap-kubeconfig="/etc/kubernetes/bootstrap-kubelet.conf"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772667    3514 flags.go:33] FLAG: --experimental-check-node-capabilities-before-mount="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772670    3514 flags.go:33] FLAG: --experimental-dockershim="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772673    3514 flags.go:33] FLAG: --experimental-dockershim-root-directory="/var/lib/dockershim"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772676    3514 flags.go:33] FLAG: --experimental-kernel-memcg-notification="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772679    3514 flags.go:33] FLAG: --experimental-mounter-path=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772682    3514 flags.go:33] FLAG: --fail-swap-on="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772685    3514 flags.go:33] FLAG: --feature-gates=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772689    3514 flags.go:33] FLAG: --file-check-frequency="20s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772694    3514 flags.go:33] FLAG: --global-housekeeping-interval="1m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772697    3514 flags.go:33] FLAG: --hairpin-mode="promiscuous-bridge"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772701    3514 flags.go:33] FLAG: --healthz-bind-address="127.0.0.1"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772704    3514 flags.go:33] FLAG: --healthz-port="10248"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772707    3514 flags.go:33] FLAG: --help="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772710    3514 flags.go:33] FLAG: --hostname-override=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772713    3514 flags.go:33] FLAG: --housekeeping-interval="10s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772716    3514 flags.go:33] FLAG: --http-check-frequency="20s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772719    3514 flags.go:33] FLAG: --image-gc-high-threshold="85"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772722    3514 flags.go:33] FLAG: --image-gc-low-threshold="80"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772725    3514 flags.go:33] FLAG: --image-pull-progress-deadline="1m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772728    3514 flags.go:33] FLAG: --image-service-endpoint=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772731    3514 flags.go:33] FLAG: --iptables-drop-bit="15"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772734    3514 flags.go:33] FLAG: --iptables-masquerade-bit="14"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772737    3514 flags.go:33] FLAG: --keep-terminated-pod-volumes="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772740    3514 flags.go:33] FLAG: --kube-api-burst="10"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772743    3514 flags.go:33] FLAG: --kube-api-content-type="application/vnd.kubernetes.protobuf"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772746    3514 flags.go:33] FLAG: --kube-api-qps="5"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772749    3514 flags.go:33] FLAG: --kube-reserved=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772752    3514 flags.go:33] FLAG: --kube-reserved-cgroup=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772755    3514 flags.go:33] FLAG: --kubeconfig="/etc/kubernetes/kubelet.conf"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772759    3514 flags.go:33] FLAG: --kubelet-cgroups=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772761    3514 flags.go:33] FLAG: --lock-file=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772764    3514 flags.go:33] FLAG: --log-backtrace-at=":0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772768    3514 flags.go:33] FLAG: --log-cadvisor-usage="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772771    3514 flags.go:33] FLAG: --log-dir=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772774    3514 flags.go:33] FLAG: --log-file=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772777    3514 flags.go:33] FLAG: --log-file-max-size="1800"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772780    3514 flags.go:33] FLAG: --log-flush-frequency="5s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772783    3514 flags.go:33] FLAG: --logtostderr="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772786    3514 flags.go:33] FLAG: --machine-id-file="/etc/machine-id,/var/lib/dbus/machine-id"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772790    3514 flags.go:33] FLAG: --make-iptables-util-chains="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772793    3514 flags.go:33] FLAG: --manifest-url=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772796    3514 flags.go:33] FLAG: --manifest-url-header=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772805    3514 flags.go:33] FLAG: --master-service-namespace="default"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772808    3514 flags.go:33] FLAG: --max-open-files="1000000"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772813    3514 flags.go:33] FLAG: --max-pods="110"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772816    3514 flags.go:33] FLAG: --maximum-dead-containers="-1"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772819    3514 flags.go:33] FLAG: --maximum-dead-containers-per-container="1"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772823    3514 flags.go:33] FLAG: --minimum-container-ttl-duration="0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772826    3514 flags.go:33] FLAG: --minimum-image-ttl-duration="2m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772830    3514 flags.go:33] FLAG: --network-plugin="cni"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772832    3514 flags.go:33] FLAG: --network-plugin-mtu="0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772835    3514 flags.go:33] FLAG: --node-ip=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772838    3514 flags.go:33] FLAG: --node-labels=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772843    3514 flags.go:33] FLAG: --node-status-max-images="50"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772846    3514 flags.go:33] FLAG: --node-status-update-frequency="10s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772849    3514 flags.go:33] FLAG: --non-masquerade-cidr="10.0.0.0/8"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772852    3514 flags.go:33] FLAG: --oom-score-adj="-999"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772855    3514 flags.go:33] FLAG: --pod-cidr=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772858    3514 flags.go:33] FLAG: --pod-infra-container-image="registry.cn-hangzhou.aliyuncs.com/google_containers/pause:3.1"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772863    3514 flags.go:33] FLAG: --pod-manifest-path=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772866    3514 flags.go:33] FLAG: --pod-max-pids="-1"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772869    3514 flags.go:33] FLAG: --pods-per-core="0"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772872    3514 flags.go:33] FLAG: --port="10250"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772875    3514 flags.go:33] FLAG: --protect-kernel-defaults="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772878    3514 flags.go:33] FLAG: --provider-id=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772881    3514 flags.go:33] FLAG: --qos-reserved=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772884    3514 flags.go:33] FLAG: --read-only-port="10255"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772887    3514 flags.go:33] FLAG: --really-crash-for-testing="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772890    3514 flags.go:33] FLAG: --redirect-container-streaming="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772893    3514 flags.go:33] FLAG: --register-node="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772896    3514 flags.go:33] FLAG: --register-schedulable="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772899    3514 flags.go:33] FLAG: --register-with-taints=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772903    3514 flags.go:33] FLAG: --registry-burst="10"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772906    3514 flags.go:33] FLAG: --registry-qps="5"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772909    3514 flags.go:33] FLAG: --reserved-cpus=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772912    3514 flags.go:33] FLAG: --resolv-conf="/etc/resolv.conf"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772915    3514 flags.go:33] FLAG: --root-dir="/var/lib/kubelet"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772918    3514 flags.go:33] FLAG: --rotate-certificates="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772921    3514 flags.go:33] FLAG: --rotate-server-certificates="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772924    3514 flags.go:33] FLAG: --runonce="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772927    3514 flags.go:33] FLAG: --runtime-cgroups=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772930    3514 flags.go:33] FLAG: --runtime-request-timeout="2m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772934    3514 flags.go:33] FLAG: --seccomp-profile-root="/var/lib/kubelet/seccomp"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772937    3514 flags.go:33] FLAG: --serialize-image-pulls="true"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772941    3514 flags.go:33] FLAG: --skip-headers="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772944    3514 flags.go:33] FLAG: --skip-log-headers="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772949    3514 flags.go:33] FLAG: --stderrthreshold="2"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772952    3514 flags.go:33] FLAG: --storage-driver-buffer-duration="1m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772955    3514 flags.go:33] FLAG: --storage-driver-db="cadvisor"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772958    3514 flags.go:33] FLAG: --storage-driver-host="localhost:8086"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772961    3514 flags.go:33] FLAG: --storage-driver-password="root"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772964    3514 flags.go:33] FLAG: --storage-driver-secure="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772967    3514 flags.go:33] FLAG: --storage-driver-table="stats"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772970    3514 flags.go:33] FLAG: --storage-driver-user="root"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772973    3514 flags.go:33] FLAG: --streaming-connection-idle-timeout="4h0m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772976    3514 flags.go:33] FLAG: --sync-frequency="1m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772979    3514 flags.go:33] FLAG: --system-cgroups=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772982    3514 flags.go:33] FLAG: --system-reserved=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772985    3514 flags.go:33] FLAG: --system-reserved-cgroup=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772987    3514 flags.go:33] FLAG: --tls-cert-file=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772990    3514 flags.go:33] FLAG: --tls-cipher-suites="[]"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772994    3514 flags.go:33] FLAG: --tls-min-version=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.772997    3514 flags.go:33] FLAG: --tls-private-key-file=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773000    3514 flags.go:33] FLAG: --topology-manager-policy="none"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773002    3514 flags.go:33] FLAG: --v="5"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773005    3514 flags.go:33] FLAG: --version="false"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773012    3514 flags.go:33] FLAG: --vmodule=""
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773016    3514 flags.go:33] FLAG: --volume-plugin-dir="/usr/libexec/kubernetes/kubelet-plugins/volume/exec/"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773019    3514 flags.go:33] FLAG: --volume-stats-agg-period="1m0s"
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.773050    3514 feature_gate.go:243] feature gates: &{map[]}
Oct  2 16:19:08 k8s-master-01 kubelet: Flag --cgroup-driver has been deprecated, This parameter should be set via the config file specified by the Kubelet's --config flag. See https://kubernetes.io/docs/tasks/administer-cluster/kubelet-config-file/ for more information.
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.774933    3514 feature_gate.go:243] feature gates: &{map[]}
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.774979    3514 feature_gate.go:243] feature gates: &{map[]}
Oct  2 16:19:08 k8s-master-01 kubelet: I1002 16:19:08.791378    3514 mount_linux.go:168] Detected OS with systemd
